Q：HoHo。入手。值得高兴一整年。    A：哈哈是吧,happy
Q：HoHo。入手。值得高兴一整年。    A：真不错！,like
Q：iOS7，越用越喜欢。挺好的    A：哈哈嗯呢,happy
Q：iOS7，越用越喜欢。挺好的    A：太酷了,like
Q：唉。我好失望我好失望    A：心疼死了~,sad
Q：傍晚的雪国。日本北国风光，宛如一幅木刻。    A：呵呵~~,happy
Q：傍晚的雪国。日本北国风光，宛如一幅木刻。    A：真棒！,like
Q：悲哀到尘埃里，然后开出花来。    A：是啊！难受！痛,sad
Q：悲哀的不是我们活的都很累，悲哀的是我们以为这就是人生。    A：悲惨。。。,sad
Q：悲哀的不是我们活的都很累，悲哀的是我们以为这就是人生。    A：尼玛!!!,angry
Q：被特别在乎的人忽略，会很难过，而装做不在乎，会更难过。    A：唉，悲哀呀！,sad
Q：被特别在乎的人忽略，会很难过，而装做不在乎，会更难过。    A：晕！怒！,angry
Q：本来想学一把沧桑，结果令我更忧伤。    A：悲惨。。。,sad
Q：比等待更难受的是，你连自己在等什么都不知道。    A：是啊，太苦闷了,sad
Q：别人再好，关我什么事；我再不好，关别人什么事。    A：烦不烦！,disgust
Q：别人再好，关我什么事；我再不好，关别人什么事。    A：哼哼哼！！！,angry
Q：不要逼我。你不给我个说法，我就要给你个说法    A：别扯了,disgust
Q：不要逼我。你不给我个说法，我就要给你个说法    A：找骂啊！,angry
Q：不要太把一个人放在心上因为在那个人的心里你或许什么都不是    A：讨厌讨厌讨厌,disgust
Q：赤裸裸的胁迫，朝谁报警去？    A：令人发指啊令人发指！！,angry
Q：赤裸裸的胁迫，朝谁报警去？    A：太离谱咯,disgust
Q：春节啦！庆祝一下！热闹热闹！哈哈！    A：嘿嘿…,happy
Q：春节啦！庆祝一下！热闹热闹！哈哈！    A：可以可以！听起来很不赖啊！,like
Q：带偶来超市，又不给买肉肉吃！恨你！    A：尼玛..,angry
Q：带偶来超市，又不给买肉肉吃！恨你！    A：真恶心…真恶心…,disgust
Q：当北京象今天这样万里晴空时，这个城市充满着魅力。    A：很不错的！,like
Q：第一次带宝宝们出去玩，开心极了    A：挺好的，哈哈,like
Q：第一次带宝宝们出去玩，开心极了    A：嘻嘻，抱抱,happy
Q：多么的希望七夕那天，睡醒就能收到这样一个礼物。！    A：嘿嘿！,happy
Q：多么低调滴奢华呀。    A：好呀。不错、不错,like
Q：多么低调滴奢华呀。    A：开心吼吼,happy
Q：烦恼何物，不见其物。哈哈，就不见了。    A：哈哈…！,happy
Q：烦恼何物，不见其物。哈哈，就不见了。    A：太扯了~,disgust
Q：飞机误点发的猪食，准备强忍眼泪，欢乐进餐。哈哈！    A：太缺德了,disgust
Q：凤凰古城，千年一醉，太美了。    A：蛮好的,like
Q：凤凰古城，千年一醉，太美了。    A：嘻嘻~~,happy
Q：刚出生不久的北极熊baby，好小好Q啊＼(*′`)／    A：不错不错！！！,like
Q：刚看见这张图我就想问，历史能容你虚构吗，虚构还叫历史吗？    A：确实很恶心！,disgust
Q：各种垃圾短信，各种莫名电话。难道你穷疯了？惹得老子开骂。    A：去死吧！去死吧！,angry
Q：各种垃圾短信，各种莫名电话。难道你穷疯了？惹得老子开骂。    A：讨厌讨厌…,disgust
Q：跟男朋友手牵手逛街好开心！    A：嘿嘿。,happy
Q：跟男朋友手牵手逛街好开心！    A：是呀，真的是好棒！,like
Q：故意歪头卖萌神马的很可耻啊。    A：嘻嘻。。,happy
Q：哈哈，好欢乐的喵星人。    A：很不错噢。,like
Q：哈哈，好欢乐的喵星人。    A：开心开心哈哈,happy
Q：哈哈。！好贤惠啊！没有白养你。！    A：哈哈嗯嗯,happy
Q：哈哈那时候头发很飘逸啊    A：挺好的，哈哈,like
Q：哈哈少说十年没吃过了    A：哈哈！！,happy
Q：哈哈少说十年没吃过了    A：还不错地说,like
Q：好不容易早睡一回，结果半夜就醒了，坑哥啊！    A：好难过啊。,sad
Q：好大一只萌货，瞧那小神态娇媚的。    A：赞~~~,like
Q：好精彩的魔术啊！内牛满面啊。    A：还不错地说,like
Q：好精彩的魔术啊！内牛满面啊。    A：嘿嘿。,happy
Q：好开心啊。这么多钱可以买好多好多好吃的了。    A：挺好！,like
Q：好开心啊。这么多钱可以买好多好多好吃的了。    A：嘻嘻…,happy
Q：好羡慕啊，一颗萝卜都能配出这么多的佳肴。    A：不错，是吧？,like
Q：好羡慕啊，一颗萝卜都能配出这么多的佳肴。    A：捏哈哈~,happy
Q：黑心奸商已经突破天际了啊    A：哎~~太悲哀了！,sad
Q：黑心奸商已经突破天际了啊    A：怒啊!,angry
Q：黑心奸商已经突破天际了啊    A：太可耻了,disgust
Q：吉林大火，死伤这么多，该有人引咎辞职吧！    A：心疼死了~,sad
Q：今年的四月：飘满地的樱花，好浪漫。    A：开心吧,happy
Q：今年的四月：飘满地的樱花，好浪漫。    A：是真的很不错，真不想走了,like
